playername,elo
Theokoles,1819.3367155926803
fearness,1819.2298389820637
Griffin,1819.0646873659084
MagiFelix,1819.030731100091
Memory,1818.939294840199
H4cker,1818.875217282792
Hai,1818.5763660843184
Beyond,1818.4972592062504
Zeyzal,1818.4697697983804
Robo,1818.266552581602
Koala,1818.243348893869
Chasy,1818.0949913891072
GUIGO,1818.0739426683888
FATE,1818.0156418567983
Maggie,1817.798596204144
Nayuki,1817.7021594759772
Babi9,1817.6937615768925
Dardoch,1817.549515938467
Crumbz,1817.4475459577563
Wink,1817.4376905753268
Th3Antonio,1817.4210578555417
Lonely,1817.264439840607
Nickey,1816.710349377809
Luofan,1816.413852985086
Sniper,1816.166296963682
Qing,1815.989625493488
Tangwa,1815.9843373817248
Feng,1815.8671154070755
Quad,1815.841482226252
Haeri,1815.7814786364092
Husha,1815.5222523552836
Han,1815.2157377207675
Malrang,1814.818098622402
ry0ma,1814.6259656656505
JimieN,1814.459303667928
Nukeduck,1814.4576067464584
SeongHwan,1814.3241952204223
WuShuang,1814.3083530563256
EMENES,1814.1387847442252
Vander,1813.9938253199196
Max,1813.9103882244244
yanguang,1813.85456778252
Elwind,1813.798324790744
Yuuki,1813.712684742385
Bless,1813.5624041379683
Mimer,1813.559536399836
xiaoyu,1813.480805038325
Eika,1813.1785529825831
Windy,1813.1470375919075
PLL,1813.1195727575716
Myths,1813.112839459112
Shemek,1813.0321748366773
Aegis,1812.8928709141303
Lindarang,1812.8096056595384
Riss,1812.713129461353
Mingren,1812.6560229882327
Jwei,1812.5589691761
Plasma,1812.5318443981275
Alu,1812.3000704560443
Cain,1812.1919982490283
Mireu,1812.147466929287
Kikis,1812.0717839600557
LIDER,1812.0413608182969
dade,1811.944196257076
Destiny,1811.9008468028717
Beichen,1811.869378830534
FakeGod,1811.546490126697
Ella,1811.3788846140476
Ragner,1811.346669779789
Alex,1811.317241744915
Garvey,1811.0369194698249
Falco,1811.034615663753
bluerzor,1810.7733546998431
Gamsu,1810.611029823888
Aki,1810.579419323112
AK,1810.3967136794715
Niño Palo,1810.2716820565972
MikeYeung,1810.2405029907852
SLT,1809.6863393503213
An,1809.6772185313384
Xiao17,1809.6432665401016
Cris,1809.4655630056816
Klaj,1809.1238026645497
Poysanity,1808.8779415087345
Fox,1808.8176215055807
Puzzle,1808.7255238859843
yebo,1808.621286442365
KennyChan,1808.2690503278984
Czekolad,1808.2452558144976
Tally,1808.1414453806167
Holder,1807.8610264036552
SSUN,1807.748179422698
Orome,1807.5382099651276
Yoon,1807.2926891774484
Jett,1807.0667491225088
Richerich,1806.990661469692
MadLife,1806.527729199522
WuNai,1806.5122540374175
hardgirl,1806.2309445115263
Aria,1805.973917981882
Rahel,1805.920119689356
Spunk,1805.851232706411
Puff,1805.710385664361
Liweier,1805.5041526420475
Prydz,1805.3691990541631
Wuji,1805.1085483922395
Shlatan,1804.978584909884
Nameless,1804.942254047024
Tony Top,1804.7140079113997
Invincible,1804.468667436447
lhyz,1804.4540028706465
V1per,1804.4459082237172
Asura,1804.4296521875167
Noah,1804.425836489401
Oddie,1804.192316416764
Hanlan,1804.048077202997
Ronaldo,1803.940180203021
wynn,1803.537391821966
Cat,1803.522975556402
naifen,1803.5165225286264
Assassin,1803.434078838539
Kui,1803.3586734199005
Stitch,1803.1702883520677
YellOwStaR,1803.15992791696
Diamond,1803.0343067914664
Duye,1802.9302230730332
BuLuKaKa,1802.708050588476
Value,1802.654869886632
Lixiao,1802.5901197678309
Gaeng,1802.0211527789731
Bunny,1801.9926950963668
Chieh,1801.7467467373745
Tempt,1801.6984014966304
Markoon,1801.6685833562124
Wao,1801.5433289983475
initial,1801.5186721808868
Luo,1801.4841035732088
Apollo,1801.3816769599305
Gilius,1801.1779159411797
Treatz,1801.171891039579
New,1800.8448799640732
Phaxi,1800.8356767758437
Hyoga,1800.707439595968
Noble,1800.6149490168273
H4TE,1800.4684485154646
X41007,1800.3868047600454
Shrimp,1800.2187184757702
Wisdom,1800.1920161637106
Altec,1800.0835488449547
Sty1e,1800.0164952658674
Raison,1799.9480505749827
Doss,1799.904150700907
Zika,1799.8599671395923
Chawy,1799.811520794144
Marge,1799.6513926897512
Venzer,1799.6417908780193
babo,1799.5702000033398
Zhaoyun,1799.5613347282228
Regret9,1799.5064240067577
1116,1799.3027185376216
xMatty,1799.2481879176942
Dreamer Ace,1798.9946060373095
