playerid,elo
oe:player:f9aba5e8b74b631dadee0acc4dce5a5,1694.2576761280743
oe:player:3d22ad7cc53c6c281ba55278d87f935,2049.821800564962
oe:player:bf495fc048d8d44b7f32536df5cf393,1870.3406069144364
oe:player:f539873281c1c0bc463c393e24c583e,1901.814718749467
oe:player:fa63162e5fdad40447d9895396a62fc,1972.4533126153474
oe:player:71029a3249c3cec9a0c897538954736,1778.142748155045
oe:player:e8ff578f8334a8a92e8fb6b8365bb2c,1977.871382042587
oe:player:0824bb2e1bab5a66eb9673a34d26624,1874.7862996633019
oe:player:ef6bf3fd02c2c92bf0e156d4b5b818a,1460.0
oe:player:a713229c85ac0832945cb6c22702540,1790.537574186103
oe:player:82984b2fe187ac652726ddea2dd092c,1775.4115796323827
oe:player:326153903eaf78fc45479934c952d7c,1804.4696704101484
oe:player:82fc00b9091ece48d14b2c42dfd541e,1925.3382314023156
oe:player:cd3c9bb8acb671dbd1faba3deaa1e03,1957.5133098660076
oe:player:e7dd312beb9106b0178bb1efb4a6c28,1873.763548969744
oe:player:6153202dbcbf80f722f7449f61ce2c5,1912.8497172191205
oe:player:7bf0a55393069a9e84c70fa7fc5a950,1899.2794990984482
oe:player:e006defde268ffa01dca662907900ee,1877.3696944269445
oe:player:30200cc3f33280c01b343e56cf206fb,1828.673289055854
oe:player:3d77d2911980b4f06d3bad76981c70f,1844.010410731876
oe:player:58133b0905e700f3a1d63f92a7556f1,1745.0443447037549
oe:player:02700e454d679f31f27c6f0768986dd,1928.0816561241409
oe:player:b24d516bb65a5a58079f0f3526c87c5,1875.2777993391765
oe:player:76ff11e1ee7ce234a5b8d7f4168201a,1949.632007011979
oe:player:77c3c3e7f1037a67120b4dd0466a9c2,1932.4490512236782
oe:player:9607669518f1847eb28362fa3b75f2f,1929.9626883110952
oe:player:ed29043422e3c515e1cb292464b990b,2088.5765868559115
oe:player:09196919e3f9f97afcccaa43410a669,2017.4321826711107
oe:player:fb08dc231cf112007ff4dc3c4fff6a6,1830.6083101506918
oe:player:cb414854bae1fa3b446126d88796996,1905.2836658307183
oe:player:12faacb5882237487203553e3acdd3b,1896.6951931387048
oe:player:ffb5e09af5fe51d3ce2a10206f5d7a9,1802.020043269941
oe:player:1e48e6a94caf09f3d8275ffba847eea,1886.4849061800307
oe:player:393eb74047bb90c8d80dea54218430e,2015.4663969982257
oe:player:4789f23283b3a61f858b641a1bef19a,1901.8114850192528
oe:player:8db71729c64a1348eea2c22913b3fdd,1818.7478782322455
oe:player:7c67be1b944646ffc400b17e7f82a1e,1883.753832385704
oe:player:955fed1c8e21e36b1ea553df0d8b07f,1860.4031764049466
oe:player:53f1445a9f28799a32ea55f046319fc,1901.1730936590668
oe:player:5093612655b7f2f5d322d43bd821bdf,1850.7373341884545
oe:player:f20a5eb02679eef8236ac7199f2fd29,1940.5251864343447
oe:player:6d1a77944e3d895b5052415380f1364,1879.0413934055973
oe:player:5d11b64cb0cf93ea4a5e5c6977aff59,1920.2918419626026
oe:player:d0f7423e6e494bbabdbd1039696d474,1721.7367142600915
oe:player:e7524d5eb84b3bbd8d2765fe3c93be1,1789.03481762246
oe:player:a97ff549ab09e198844f080ad44af27,1692.421315620561
oe:player:51a82d67e91be1979fee8f9d6724376,1683.2609521730678
oe:player:dd42435dfc9a1849235ed5990338b9a,1494.5191770072054
oe:player:5b591ed6a915f05e3629a1b5156ad8e,2045.8859224077335
oe:player:7d8b6707950dad47da00aa2984b6289,1775.510162568741
oe:player:0d0b4e3b3ded537ba0e471c90904e19,1799.8882371771845
oe:player:356728aeffdbd7f7b7b2fc715586a2e,1669.9689455002374
oe:player:5289f3e3b6446316a53794e6a42d587,1886.1909037462449
oe:player:9b2dd2ace4fae2ba85df02e3ebf3f89,1869.5237152454777
oe:player:bca2f1e432d3bcc247bc13afbab62f5,1420.0
oe:player:4477c824d4c87127542210854d912a1,1882.7595927452737
oe:player:259478cd0f13f25526b2c5956bece6b,1870.443286276284
oe:player:9dc772d82afb9a5374668bd51a50cc8,1785.145240830812
oe:player:7861adf649fc06ee250817d9ebf4fb0,1922.8943629077824
oe:player:221ad2345a2449ec7cb975a589daa33,1663.2170841141206
oe:player:0f05f89e4a5d4516d86d3d8dcf8664c,1686.3740173618799
oe:player:173b7d2ec66da8ceb34cd12311024ce,1786.2879625597334
oe:player:fa0b0e29d859319549e319750eb52ea,1700.0
oe:player:30079b8123805663f38adc9cec278a9,1840.1014843253206
oe:player:4acbd46236c507b878554ddea8e2064,1974.8687700023345
oe:player:c97cf7bfcd5ebe9d96556972dedfcbe,1340.0
oe:player:be965606a6d3f2fcf2c2e75e5425ed2,1877.2312405806201
oe:player:f664d284830632bdc774717de3d4e89,1980.3078919493105
oe:player:2d3f51fd7ed4d50ac21dec9ef605d45,1930.309911002682
oe:player:8473f433367c71fc35d861ef9fcac3f,1799.9450654714105
oe:player:7d98c764c1407e17c569d842f5ef001,1820.0
oe:player:877f7037cf5edf284fd5d2f5604f375,1907.7781508437968
oe:player:3cff0fe106cea582f090d1efc530f93,1849.9458790759825
oe:player:35a1d8f96615ef0c86913ceebf37211,1656.7030827935994
oe:player:1333fc1149277816ba53b96f3c23a4d,1679.865997390122
oe:player:3a7b13670646126071ab41bc0e0ecb9,1980.4684488799257
oe:player:cdbba59d6d0bf73f91abc2e9fd603d4,1621.3476913600775
oe:player:3fd0e323c196176bcc3555b37270eab,1870.884169155734
oe:player:b9972f46c1e52797d66236b118d2970,2121.311553865691
oe:player:6cfd8216fe8d238fe3d04f032e7da17,1905.9883672777323
oe:player:576953f444c7e94103a617fbaf0bd7a,1837.0871355560923
oe:player:1103675270cbcaf2e39d33b4dd7d23a,1832.1103016469306
oe:player:447821588f0a996172028092cc34654,1795.4574454102453
oe:player:519730d214677342b4f5449c4d4f10d,1950.0632855086485
oe:player:4bcd2c8131dbc883e8c475ca0e1c0ab,1872.655923357067
oe:player:2eb794dd9f48b9144629c8d3bf0fabd,1867.4292837952842
oe:player:4668112d7c5f80a73a826dd8150989d,1871.286456622546
oe:player:b78a6b121abf94566d5f57e29919d94,1889.0694980361166
oe:player:ffd9bb08aa5f682fc46f59c6f89df6e,2020.251217672567
oe:player:d447aff304d25f8edeed8f7bfae80da,1838.827399960031
oe:player:182875b6c36a761f1e459624c1d9363,1815.927527605585
oe:player:50cfb7c6a877b3be04406816fdb0189,1690.8780851419272
oe:player:83822cafc51079708c95bb9a1cc0c51,1786.710998919271
oe:player:4c19a9fb0033142229eeea281998258,1660.1514989440182
oe:player:4a07f2d38dd2da28e405ab281cc72d6,1699.7624175570402
oe:player:10dadfb1012851c9bc9bce1410c054e,1839.051916161844
oe:player:851b5c835fc2af10c946aa7aae6b4f0,1578.9122593709872
oe:player:af51fdf94adbb4b6fe4f1275b07df10,1705.9923332552264
oe:player:5345fffed75e27e229cb09782502834,1939.9430163352154
oe:player:9c35db96635c38fb23420367fcaa64f,1991.8748295120943
oe:player:4ab993b0ba183ffd0cd84d2b4b26750,1622.7691306467416
oe:player:b13e83170cc8429bb224181ff17aa99,2018.5368559170406
oe:player:275c74140224026380b29b2412d2512,1988.8992914071716
oe:player:37f20525a39d17ec49fd10294f9c994,2057.523945825893
oe:player:16e33450be33b5ebd6688abd96d020e,1966.9014115672805
oe:player:42efecb4a1fa65304effba059ef85be,1680.5658353052504
oe:player:6d2c5cdd8b716a1b4a1eb7b161c87bd,1574.9199093471636
oe:player:9f8a0de7f1c5e0c7f3de16d1f7efeb7,1709.0481626045819
oe:player:b592cda73e666c25c547b5a62dc7576,1925.4288780224624
oe:player:248c951164a35e1e91ff0267c0f666e,1260.0
oe:player:464bbc1bed29817ccfb57a4649ea784,1850.6361453877894
oe:player:dcad87d020d1051eec5f7bc43b3a8a1,1340.0
oe:player:0da0eeb199e8fa3ab773cf84f9de9ab,2144.080359908417
oe:player:d7a920ad9c1b5c3d23cbf211d9f4b85,1875.1757366264032
oe:player:fc058f1bb2bd7c63cb12dbdadf3058f,1767.0118567117288
oe:player:e54f139aff1f31946a8e778ea10dd32,1767.6341063258794
oe:player:6ffdbb00b55d897192f34e42b6f1318,1726.215175275595
oe:player:ecafa7613fa0751f1d327559c2508d5,1864.147381970239
oe:player:2550562301f809660dd41bacc590fae,1810.7584632890262
oe:player:20807533029da6eb749cba41540b44b,1821.0021934557353
oe:player:4860d1660ce45bd15a600953309135c,2059.682602406634
oe:player:79cac5e77a1fc39640a3056096b7f6f,1474.398948815387
oe:player:38ce58be5c699a610d00162af5fec39,1906.82204688529
oe:player:03c9d5b89f35e4497eb6b04cb176c0f,1950.300696732082
oe:player:ebec939da49d80219030b8441845ef9,1923.217633407006
oe:player:c5a0d5d34cdf519614d45a60cb300dd,1848.6277375174611
oe:player:25cabb1442cddb2ce008c57eb2be1a7,1864.6994517007183
oe:player:72130c3eb5e111889dac87f4333da1a,1843.8861582294412
oe:player:75fc28cbd1bf055e25e7fea0b5d7b48,1875.2881234340675
oe:player:65d7435a995a3dbd0d1eb925f7c66bd,1991.3457834361566
oe:player:9a7fb5053e18eadf26aff6cdaa46d53,1778.6816899622634
oe:player:9c00b6028fc19b18f26559a987beb97,1849.9888831888907
oe:player:ceccbda9b022e615f4978cde61bbea8,1773.3695235873615
oe:player:3895c059762370cf34b10e69640167f,1863.2189467371163
oe:player:0d531a90c7d682db3892c7fdae37953,1873.6289344198522
oe:player:de4f13489037978e8fa92e888eeaad0,1843.5180164975773
oe:player:958adb57686c2fdec5796398de5f317,1908.909504171935
oe:player:155a78ad2e48b23691d6c22d666ee6b,1742.2872836256672
oe:player:e72719251ee3a46e088b950a25283b5,2009.5576689581903
oe:player:ca8cae717dcc2f6ccb358c25ae9b872,1624.8426767820963
oe:player:2785ec87127f6d7faad66f5fdfbfdc1,1820.7441483884536
oe:player:8717c30fc91279cbeb8dc3283f07910,1837.6472888781775
oe:player:e165c2658feb17b72c529fa2e4eba05,1908.4143146641493
oe:player:4eb49ec9f7a4bda55346b821b7bc8f2,1881.1270886360815
oe:player:4cd584bca69459a7f0e1d53e422ed6f,1907.468664484189
oe:player:2ef89292749627c31a355962280d59c,1931.7935412696352
oe:player:8298b351d8877506358bb8b17c4147a,1850.3390190283894
oe:player:66e60cca1527ec489a0276543e51613,1847.5330302081982
oe:player:d5b11d379e7872645508ebf1d6585c5,1937.0136709171636
oe:player:4792a88ffe9d261da5e350af061399b,1663.5137079025535
oe:player:e5fd1bcc37759cfc7097edd442e811a,1774.0144383866266
oe:player:9687d75a39d7ab745c9903bc8513167,1710.0225028836496
oe:player:fcc47b0c50dce96940d2179962a6588,1666.1158072622368
oe:player:37f7459f5a698cd60aaed7d4ec7ef4c,1820.1500492749522
oe:player:da34a03db57b910b1bf8881e207b5a6,2024.591637813801
oe:player:9f36c3a637fc706ed21cd6ed903fe67,1946.9414551387995
oe:player:3fe2017e5cb984400c5271ef77a840f,1927.4452697906584
oe:player:69e2a1c58f89881ea51ed3eb290233c,1559.0338516322931
oe:player:9c8cfa2b08c500ed41636d5e75e07c2,2074.8817558965575
oe:player:0927b0b8a7a95b5f02808e24b954e3e,1672.4860643986676
oe:player:4413a0a64e3dfbca1d5b2df65487d1f,1960.31953944278
oe:player:76c0dfd835c5ea194cd216fe00a492c,1420.0
oe:player:14eee49d63be67ce0baaa4f5ef10490,1774.9047034276236
oe:player:d703098098111ed7cd5a9de129066c2,1896.3401565156971
oe:player:67e55f5f21b55048166b2092a11b21e,1874.3443461440263
oe:player:39d7885ab4602a7f8d202883d253f5e,1843.828891128578
oe:player:d5425a064933eb578a65ee0f0e79fb8,1830.7510564057263
oe:player:2225199a39813632677b8273de732b1,1930.3167125031073
oe:player:8c2cf26d1671f65e7a4ffd04fcfcd4f,1951.916380130831
oe:player:eead05a01ff69770e90ba2a541988ca,1853.1889879910518
oe:player:4d40fff8767aca1ddf2e76b14a9052f,1817.1775066733717
oe:player:03c2e7e41ffc181a4e84080b4710e81,1837.3472415622036
oe:player:4de3bfa7de6754cee1933fd1ba8d5b0,1836.935554140081
oe:player:d0a2ad0533fced3ee8500a23b81bb92,1679.4087945015106
oe:player:c03742dcadb478ce5f5766c4c183b46,1991.774217171985
oe:player:7456ad0d00b61c4fffab929883752f4,1900.0569380680104
oe:player:1e52b07ac3195353614d11dc7853692,1912.90867429545
oe:player:542b1268b090a5fc82442efbd8d8165,2044.6622832202193
oe:player:48598ee283437e810f2f0eb1cf66e21,1929.6658481269967
oe:player:c0df2f3a64e0ca3a784916548eb545b,1921.1209884955633
oe:player:6f5c311262038b8e8b495ed6214c8f3,1895.974153455335
oe:player:87d7705506904cfe3075a5095d15111,1842.0856394078025
oe:player:f3322656ae1facbf4763677fe2506a3,2053.33284114969
oe:player:7f9454c48ae7c91681040738d9e8a73,1708.325941314604
oe:player:c54e1090ef1faa736b12493051c4855,2132.047368210544
oe:player:9406e3c325bfc9873426e5eda4ba6e1,1981.2042253312527
oe:player:3205348b11b8cf2b6663318b143928f,1957.1058453951473
oe:player:eb40ad036f57cfb40c8cd1a852eec5e,1835.2293492347223
