playerid,elo
oe:player:568fe19f3078824aeca0056e28081bb,1856.0860623740173
oe:player:a74c2977c1fc826e9e7bdb6b224a141,1925.810945909906
oe:player:4351cfebe4b61d8aa5efa1d02071000,1791.413791402899
oe:player:4284047941a7e9479e80242c7e3d627,1812.6560229882327
oe:player:7e2505960c12cc54c96a0a6efb2e055,1916.0268018056533
oe:player:f3322656ae1facbf4763677fe2506a3,1986.9422521555318
oe:player:e4e943fa882367a96fb2a365de4e28c,1878.0029048329343
oe:player:a3d74b52c8b1367c7044f417b743d75,1783.1774596471269
oe:player:060faefaa7099fc34fe4456326a92a9,1861.3468045145087
oe:player:e010e064126e4cbe417f1ac433b3495,1734.262987026928
oe:player:e35d06a0430095562086a40a2676d8e,1887.0179349933592
oe:player:5f8ff49cd56eae61d635966b183a451,2061.537801612573
oe:player:021bbc7ee20b71134d53e20206bd6fe,1781.4929659585457
oe:player:5345fffed75e27e229cb09782502834,1815.9843373817248
oe:player:6cb31441da040871545b0c53a09054f,1611.6462674435345
oe:player:8532de3deb7d10f0543306d84382e3b,1647.9769648572326
oe:player:fb4f4115c731024342eb1a33e0d898f,1681.422522085636
oe:player:c795dfff10a7c952f4c5438951e9ece,1779.9412806266746
oe:player:fc89421a5b3f5cbef82f93eed2a1f95,1590.4642642798337
oe:player:243f9bba388e658e608067316c47b02,1557.794475425191
oe:player:f7f375bd36f3cfddc695a2047324276,1296.1790009939173
oe:player:7d454eeea4788cbfcaaaa13de6df9e4,1246.9736233997387
oe:player:39ca0598a0c49794dd72cb0bac72a3d,1584.1402106558498
oe:player:ae97b9649e39ad901b680f74c3f56b3,1367.6131177315535
oe:player:055dd39d06ffb69e8d27ee151113927,1150.341866162824
oe:player:01fc0520770d413ac765d5395027386,1414.7600465312587
oe:player:407b2b8fcb2fd977fc766d5df3f4dff,1821.6629787572072
oe:player:7456ad0d00b61c4fffab929883752f4,1774.3707540423345
oe:player:0103d21d116b61eb55fa351242208cf,1786.2143255616197
oe:player:7c752bff9cb38f08618fe71cdf47075,1725.4564556824344
oe:player:f4e74388bb8ff2f8d88bfc579f7fb61,1993.5945252165188
oe:player:14cbcf095e72902e80938f6a021a176,1946.912191776208
oe:player:c271341160441d375411fef9bf2f9ef,1940.1305962444737
oe:player:7b0aeb1bb297b0d44629e94186bcb6a,1486.270947812572
oe:player:1a8c5af93324a560e91a054146e652d,1512.6768917249055
oe:player:0cd6ba51204139f1e54c05c7c07e154,1666.9937876379176
oe:player:0fd3953a7b66913cf3a505c20471563,1344.6450778669212
oe:player:8218786224f4ed0a252fa80aa995e5c,1317.585744111286
oe:player:97fabee7db95748df12472f44df4a01,1619.1630037578643
oe:player:7a4f9c72445e1056d8e8a75054d6e88,1520.6283010917018
oe:player:8c6de89ec4d4274e956b0db6588f489,1611.4706691126266
oe:player:261d28ef3955b804964fa25f0b31dcf,1275.7733289453954
oe:player:d7c528ab090b1cda9854e13aaf94505,1859.830446483584
oe:player:a9cfbc13e22eefdd22af7b346ce2af4,1601.9900603247718
oe:player:276a74e4409e2bdf5556afadf29f7de,1468.9483611986554
oe:player:421bd17dac8819ad37c21785a47b811,1407.7460769285165
oe:player:178ccf18b360e8cff0fc1a4eb404def,1458.12027485135
oe:player:333dc2ede1e07139814398332e5e90f,1675.0603580216434
oe:player:4f39bed0318f63827f66517bdfd67fc,1761.82947643204
oe:player:0c74b7f78409a4022a2c4c5a5ca3ee1,2016.4877440227185
oe:player:ba6e76e259419420ddff269bb6ef074,1643.9798174032262
oe:player:7cc60efc7908ef535a0488a811996a4,1792.4042245773305
oe:player:3136a9f696493782b8b07c895377f81,1887.5445725721618
oe:player:a2de87eae98d0ab3b85567026561a51,1817.549515938467
oe:player:1eeaee004ca9e0069d34b79d6006aed,1763.9766906236016
oe:player:fa25750001a01658a6fc79611d41de6,1632.4928922510173
oe:player:91f8f384b71d4a8a856c0c173412f91,1654.9372985272094
oe:player:77283a0e12a2101886de76dda030375,1627.887376887434
oe:player:9ae7c4a935600f6829566ad2657a6e8,1261.7429825654729
oe:player:35859191db73609302debbc5c43117c,1444.5028090474157
